mu0 A1 A2 dim_unstable
0.56 -0.1932183566158592 -0.1932183566158592 1
0.57 -0.19493588689617927 -0.19493588689617927 1
0.58 -0.196638416050035 -0.196638416050035 1
0.59 -0.19832633040858022 -0.19832633040858022 1
0.6 -0.2 -0.2 1
0.61 -0.20165977949672234 -0.20165977949672234 1
0.62 -0.20330600909302543 -0.20330600909302543 1
0.63 -0.20493901531919198 -0.20493901531919198 1
0.64 -0.2065591117977289 -0.2065591117977289 1
0.65 -0.20816659994661327 -0.20816659994661327 1
0.66 -0.20976176963403032 -0.20976176963403032 1
0.67 -0.21134489978863147 -0.21134489978863147 1
0.68 -0.21291625896895086 -0.21291625896895086 1
0.69 -0.21447610589527216 -0.21447610589527216 1
0.7 -0.21602468994692867 -0.21602468994692867 1
0.71 -0.21756225162774293 -0.21756225162774293 1
0.72 -0.21908902300206642 -0.21908902300206642 1
0.73 -0.2206052281036573 -0.2206052281036573 1
0.74 -0.22211108331943574 -0.22211108331943574 1
0.75 -0.223606797749979 -0.223606797749979 1
0.76 -0.2250925735484551 -0.2250925735484551 1
0.77 -0.22656860623955238 -0.22656860623955238 1
0.78 -0.22803508501982758 -0.22803508501982758 1
0.79 -0.2294921930407801 -0.2294921930407801 1
0.8 -0.2309401076758503 -0.2309401076758503 1
0.81 -0.23237900077244503 -0.23237900077244503 1
0.82 -0.2338090388900024 -0.2338090388900024 1
0.83 -0.23523038352503134 -0.23523038352503134 1
0.84 -0.23664319132398465 -0.23664319132398465 1
0.85 -0.23804761428476168 -0.23804761428476168 1
0.86 -0.23944379994757295 -0.23944379994757295 1
0.87 -0.24083189157584592 -0.24083189157584592 1
0.88 -0.24221202832779934 -0.24221202832779934 1
0.89 -0.24358434541926813 -0.24358434541926813 1
0.9 -0.24494897427831783 -0.24494897427831783 1
0.91 -0.2463060426921489 -0.2463060426921489 1
0.92 -0.24765567494675614 -0.24765567494675614 1
0.93 -0.24899799195977465 -0.24899799195977465 1
0.94 -0.2503331114069145 -0.2503331114069145 1
0.95 -0.2516611478423583 -0.2516611478423583 1
0.96 -0.25298221281347033 -0.25298221281347033 1
0.97 -0.254296414970142 -0.254296414970142 1
0.98 -0.2556038601690775 -0.2556038601690775 1
0.99 -0.25690465157330256 -0.25690465157330256 1
1.0 -0.25819888974716115 -0.25819888974716115 1
1.01 -0.2594866727470475 -0.2594866727470475 1
1.02 -0.2607680962081059 -0.2607680962081059 1
1.03 -0.262043253427114 -0.262043253427114 1
1.04 -0.26331223544175336 -0.26331223544175336 1
1.05 -0.2645751311064591 -0.2645751311064591 1
1.06 -0.26583202716502513 -0.26583202716502513 1
1.07 -0.2670830083201351 -0.2670830083201351 1
1.08 -0.26832815729997483 -0.26832815729997483 1
1.09 -0.2695675549220764 -0.2695675549220764 1
1.1 -0.27080128015453203 -0.27080128015453203 1
1.11 -0.2720294101747089 -0.2720294101747089 1
1.12 -0.2732520204255893 -0.2732520204255893 1
1.13 -0.274469184669852 -0.274469184669852 1
1.14 -0.2756809750418044 -0.2756809750418044 1
1.15 -0.27688746209726917 -0.27688746209726917 1
1.16 -0.2780887148615228 -0.2780887148615228 1
1.17 -0.2792848008753788 -0.2792848008753788 1
1.18 -0.28047578623950176 -0.28047578623950176 1
1.19 -0.28166173565703473 -0.28166173565703473 1
1.2 -0.282842712474619 -0.282842712474619 1
1.21 -0.2840187787218772 -0.2840187787218772 1
1.22 -0.2851899951494325 -0.2851899951494325 1
1.23 -0.2863564212655271 -0.2863564212655271 1
1.24 -0.28751811537130434 -0.28751811537130434 1
1.25 -0.2886751345948129 -0.2886751345948129 1
1.26 -0.28982753492378877 -0.28982753492378877 1
1.27 -0.29097537123726924 -0.29097537123726924 1
1.28 -0.2921186973360886 -0.2921186973360886 1
1.29 -0.2932575659723036 -0.2932575659723036 1
1.3 -0.2943920288775949 -0.2943920288775949 1
1.31 -0.2955221367906867 -0.2955221367906867 1
1.32 -0.29664793948382656 -0.29664793948382656 1
1.33 -0.29776948578836393 -0.29776948578836393 1
1.34 -0.2988868236194653 -0.2988868236194653 1
1.35 -0.3 -0.3 1
1.36 -0.30110906108363245 -0.30110906108363245 1
1.37 -0.3022140521771503 -0.3022140521771503 1
1.38 -0.303315017762062 -0.303315017762062 1
1.39 -0.30441200151548997 -0.30441200151548997 1
1.4 -0.30550504633038933 -0.30550504633038933 1
1.41 -0.30659419433511786 -0.30659419433511786 1
1.42 -0.307679486912382 -0.307679486912382 1
1.43 -0.3087609647175843 -0.3087609647175843 1
1.44 -0.30983866769659335 -0.30983866769659335 1
1.45 -0.3109126351029605 -0.3109126351029605 1
1.46 -0.3119829055146024 -0.3119829055146024 1
1.47 -0.31304951684997057 -0.31304951684997057 1
1.48 -0.31411250638372656 -0.31411250638372656 1
1.49 -0.3151719107619417 -0.3151719107619417 1
1.5 -0.31622776601683794 -0.31622776601683794 1
1.51 -0.31728010758108777 -0.31728010758108777 1
1.52 -0.3183289703016886 -0.3183289703016886 1
1.53 -0.31937438845342625 -0.31937438845342625 1
1.54 -0.32041639575194447 -0.32041639575194447 1
1.55 -0.32145502536643183 -0.32145502536643183 1
1.56 -0.322490309931942 -0.322490309931942 1
1.57 -0.3235222815613581 -0.3235222815613581 1
1.58 -0.32455097185701565 -0.32455097185701565 1
1.59 -0.32557641192199416 -0.32557641192199416 1
1.6 -0.3265986323710904 -0.3265986323710904 1
