mu0 A1 A2 dim_unstable
4.51 1.226104943849968 0.0 3
4.52 1.2274635093014645 0.0 3
4.53 1.2288205727444508 0.0 3
4.54 1.230176139149729 0.0 3
4.55 1.2315302134607444 0.0 3
4.56 1.2328828005937953 0.0 3
4.57 1.2342339054382412 0.0 3
4.58 1.2355835328567093 0.0 3
4.59 1.2369316876852983 0.0 3
4.6 1.2382783747337807 0.0 3
4.61 1.2396235987858035 0.0 3
4.62 1.2409673645990857 0.0 3
4.63 1.2423096769056148 0.0 3
4.64 1.243650540411842 0.0 3
4.65 1.2449899597988732 0.0 3
4.66 1.2463279397226612 0.0 3
4.67 1.2476644848141933 0.0 3
4.68 1.2489995996796797 0.0 3
4.69 1.2503332889007368 0.0 3
4.7 1.2516655570345725 0.0 3
4.71 1.2529964086141667 0.0 3
4.72 1.2543258481484518 0.0 3
4.73 1.255653880122491 0.0 3
4.74 1.2569805089976536 0.0 3
4.75 1.2583057392117916 0.0 3
4.76 1.2596295751794122 0.0 3
4.77 1.260952021291849 0.0 3
4.78 1.2622730819174326 0.0 3
4.79 1.2635927614016578 0.0 3
4.8 1.2649110640673518 0.0 3
4.81 1.2662279942148387 0.0 3
4.82 1.267543556122103 0.0 3
4.83 1.2688577540449522 0.0 3
4.84 1.2701705922171767 0.0 3
4.85 1.27148207485071 0.0 3
4.86 1.2727922061357855 0.0 3
4.87 1.274100990241093 0.0 3
4.88 1.2754084313139327 0.0 3
4.89 1.2767145334803705 0.0 3
4.9 1.2780193008453877 0.0 3
4.91 1.2793227374930325 0.0 3
4.92 1.2806248474865698 0.0 3
4.93 1.2819256348686274 0.0 3
4.94 1.2832251036613438 0.0 3
4.95 1.284523257866513 0.0 3
4.96 1.2858201014657273 0.0 3
4.97 1.2871156384205213 0.0 3
4.98 1.2884098726725126 0.0 3
4.99 1.2897028081435402 0.0 3
5.0 1.2909944487358056 0.0 3
5.01 1.2922847983320085 0.0 3
5.02 1.2935738607954836 0.0 3
5.03 1.2948616399703354 0.0 3
5.04 1.296148139681572 0.0 3
5.05 1.2974333637352375 0.0 3
5.06 1.2987173159185437 0.0 3
5.07 1.3 0.0 3
5.08 1.3012814197295424 0.0 3
5.09 1.3025615788386615 0.0 3
5.1 1.3038404810405297 0.0 3
5.11 1.3051181300301262 0.0 3
5.12 1.3063945294843617 0.0 3
5.13 1.307669683062202 0.0 3
5.14 1.3089435944047907 0.0 3
5.15 1.3102162671355697 0.0 3
5.16 1.3114877048604001 0.0 3
5.17 1.312757911167681 0.0 3
5.18 1.3140268896284681 0.0 3
5.19 1.3152946437965907 0.0 3
5.2 1.3165611772087666 0.0 3
5.21 1.3178264933847197 0.0 3
5.22 1.3190905958272918 0.0 3
5.23 1.3203534880225574 0.0 3
5.24 1.321615173439934 0.0 3
5.25 1.3228756555322954 0.0 3
5.26 1.3241349377360803 0.0 3
5.27 1.3253930234714029 0.0 3
5.28 1.3266499161421599 0.0 3
5.29 1.3279056191361394 0.0 3
5.3 1.3291601358251257 0.0 3
5.31 1.330413469565007 0.0 3
5.32 1.3316656236958786 0.0 3
5.33 1.332916601542147 0.0 3
5.34 1.3341664064126333 0.0 3
5.35 1.3354150416006751 0.0 3
5.36 1.3366625103842282 0.0 3
5.37 1.3379088160259651 0.0 3
5.38 1.3391539617733776 0.0 3
5.39 1.3403979508588733 0.0 3
5.4 1.3416407864998738 0.0 3
5.41 1.3428824718989125 0.0 3
5.42 1.34412301024373 0.0 3
5.43 1.345362404707371 0.0 3
5.44 1.346600658448277 0.0 3
5.45 1.347837774610382 0.0 3
5.46 1.3490737563232043 0.0 3
5.47 1.3503086067019396 0.0 3
5.48 1.351542328847553 0.0 3
5.49 1.3527749258468684 0.0 3
5.5 1.35400640077266 0.0 3
5.51 1.3552367566837416 0.0 3
5.52 1.3564659966250536 0.0 3
5.53 1.3576941236277535 0.0 3
5.54 1.3589211407093005 0.0 3
5.55 1.3601470508735443 0.0 3
5.56 1.361371857110809 0.0 3
5.57 1.3625955623979797 0.0 3
5.58 1.3638181696985856 0.0 3
5.59 1.3650396819628847 0.0 3
5.6 1.3662601021279464 0.0 3
5.61 1.3674794331177345 0.0 3
5.62 1.3686976778431872 0.0 3
5.63 1.3699148392023013 0.0 3
5.64 1.3711309200802089 0.0 3
5.65 1.37234592334926 0.0 3
5.66 1.373559851869101 0.0 3
5.67 1.374772708486752 0.0 3
5.68 1.3759844960366863 0.0 3
5.69 1.3771952173409066 0.0 3
5.7 1.3784048752090223 0.0 3
5.71 1.379613472438325 0.0 3
5.72 1.3808210118138653 0.0 3
5.73 1.3820274961085255 0.0 3
5.74 1.3832329280830953 0.0 3
5.75 1.3844373104863459 0.0 3
5.76 1.3856406460551018 0.0 3
5.77 1.3868429375143145 0.0 3
